"","Name"
"465",">hsa-miR-7151-5p MIMAT0028212"
"466",">hsa-miR-4709-5p MIMAT0019811"
"467",">hsa-miR-2277-5p MIMAT0017352"
"468",">hsa-miR-526a MIMAT0002845"
"469",">hsa-miR-6784-5p MIMAT0027468"
"470",">hsa-miR-4476 MIMAT0019003"
"471",">hsa-miR-3125 MIMAT0014988"
"472",">hsa-miR-4498 MIMAT0019033"
"473",">hsa-miR-103a-3p MIMAT0000101"
"474",">hsa-miR-4472 MIMAT0018999"
"475",">hsa-let-7i-3p MIMAT0004585"
"476",">hsa-miR-5702 MIMAT0022495"
"477",">hsa-miR-199b-5p MIMAT0000263"
"478",">hsa-miR-383-3p MIMAT0026485"
"479",">hsa-miR-4696 MIMAT0019790"
"480",">hsa-miR-8062 MIMAT0030989"
"481",">hsa-miR-518e-3p MIMAT0002861"
"482",">hsa-miR-7114-5p MIMAT0028125"
"483",">hsa-miR-6821-5p MIMAT0027542"
"484",">hsa-miR-6879-3p MIMAT0027659"
"485",">hsa-miR-5580-5p MIMAT0022273"
"486",">hsa-miR-8079 MIMAT0031006"
"487",">hsa-miR-527 MIMAT0002862"
"488",">hsa-miR-450a-1-3p MIMAT0022700"
"489",">hsa-miR-4499 MIMAT0019035"
"490",">hsa-miR-4781-5p MIMAT0019942"
"491",">hsa-miR-1321 MIMAT0005952"
"492",">hsa-miR-585-3p MIMAT0003250"
"493",">hsa-miR-4305 MIMAT0016857"
"494",">hsa-miR-2276-5p MIMAT0026921"
"495",">hsa-miR-329-3p MIMAT0001629"
"496",">hsa-miR-1915-5p MIMAT0007891"
"497",">hsa-miR-224-5p MIMAT0000281"
"498",">hsa-miR-6840-3p MIMAT0027583"
"499",">hsa-miR-6072 MIMAT0023697"
"500",">hsa-miR-6079 MIMAT0023704"
"501",">hsa-miR-6511b-5p MIMAT0025847"
"502",">hsa-miR-548ax MIMAT0022474"
"503",">hsa-miR-144-3p MIMAT0000436"
"504",">hsa-miR-4700-5p MIMAT0019796"
"505",">hsa-miR-4442 MIMAT0018960"
"506",">hsa-miR-3945 MIMAT0018361"
"507",">hsa-miR-4713-5p MIMAT0019820"
"508",">hsa-miR-520h MIMAT0002867"
"509",">hsa-miR-3616-3p MIMAT0017996"
"510",">hsa-miR-499a-5p MIMAT0002870"
"511",">hsa-miR-4532 MIMAT0019071"
"512",">hsa-miR-4311 MIMAT0016863"
"513",">hsa-miR-4514 MIMAT0019051"
"514",">hsa-miR-374a-3p MIMAT0004688"
"515",">hsa-miR-141-3p MIMAT0000432"
"516",">hsa-miR-6856-5p MIMAT0027612"
"517",">hsa-miR-186-5p MIMAT0000456"
"518",">hsa-miR-339-5p MIMAT0000764"
"519",">hsa-miR-486-5p MIMAT0002177"
"520",">hsa-miR-3927-5p MIMAT0022970"
"521",">hsa-miR-7515 MIMAT0029310"
"522",">hsa-miR-548j-5p MIMAT0005875"
"523",">hsa-miR-548ay-5p MIMAT0025452"
"524",">hsa-miR-3936 MIMAT0018351"
"525",">hsa-miR-4320 MIMAT0016871"
"526",">hsa-miR-4782-3p MIMAT0019945"
"527",">hsa-miR-1273h-5p MIMAT0030415"
"528",">hsa-miR-6823-3p MIMAT0027547"
"529",">hsa-miR-3117-5p MIMAT0019197"
"530",">hsa-miR-218-5p MIMAT0000275"
"531",">hsa-miR-663b MIMAT0005867"
"532",">hsa-miR-1279 MIMAT0005937"
"533",">hsa-miR-4656 MIMAT0019723"
"534",">hsa-miR-135a-5p MIMAT0000428"
"535",">hsa-miR-3922-5p MIMAT0019227"
"536",">hsa-miR-3186-5p MIMAT0015067"
"537",">hsa-miR-6785-5p MIMAT0027470"
"538",">hsa-miR-6723-5p MIMAT0025855"
"539",">hsa-miR-2053 MIMAT0009978"
"540",">hsa-miR-1587 MIMAT0019077"
"541",">hsa-miR-93-5p MIMAT0000093"
"542",">hsa-miR-376c-5p MIMAT0022861"
"543",">hsa-miR-6816-5p MIMAT0027532"
"544",">hsa-miR-4452 MIMAT0018974"
"545",">hsa-miR-548k MIMAT0005882"
