Cavin-1 Pellet,,,Average Cell,,PC3_Exosome_CAV1_23.3,PC3_Exosome_CAV1_4.3,PC3_Exosome_CAV1_6.3,
1.191441,2.263278,0,1.151573,hsa-miR-1226-5p,1.48624603,3.32606508,3.331515921,2.71460901
1.191441,2.263278,0,1.151573,hsa-miR-629-3p,0,14.41294868,6.187100996,6.866683225
1.191441,2.263278,0,1.151573,hsa-miR-3143-5p,2.97249206,6.09778598,2.855585075,3.975287705
1.191441,2.263278,0,1.151573,hsa-miR-4492-3p,1.48624603,0,0,0.495415343
1.191441,2.263278,0,1.151573,hsa-miR-708-5p,1.48624603,354.225931,257.0026568,204.2382779
1.191441,2.263278,0,1.151573,hsa-miR-622-5p,0,0,0,0
1.191441,2.263278,0,1.151573,hsa-miR-3135b-5p,4.458738091,2.21737672,0.475930846,2.384015219
1.191441,2.263278,0,1.151573,hsa-miR-216a-5p,1.48624603,4.98909762,1.903723383,2.793022344
1.191441,2.263278,0,1.151573,hsa-miR-197-5p,0,1.10868836,0,0.369562787
3.574322,0,0,1.191440667,hsa-miR-338-3p,0,7.20647434,3.807446767,3.671307036
3.574322,0,0,1.191440667,hsa-miR-548j-5p,5.944984121,3.88040926,2.855585075,4.226992819
3.574322,0,0,1.191440667,hsa-miR-1255a-3p,0,4.43475344,2.855585075,2.430112838
3.574322,0,0,1.191440667,hsa-miR-3674-5p,0,0,0.475930846,0.158643615
3.574322,0,0,1.191440667,hsa-miR-3662-3p,0,2.7717209,12.37420199,5.048640963
3.574322,0,0,1.191440667,hsa-miR-3940-3p,0,2.7717209,1.427792538,1.399837813
1.191441,0,2.502538,1.231326333,hsa-miR-548y-3p,2.97249206,1.10868836,1.427792538,1.836324319
1.191441,0,2.502538,1.231326333,hsa-miR-4472-2-3p,0,0,0,0
1.191441,0,2.502538,1.231326333,hsa-miR-4750-5p,1.48624603,0.55434418,0.951861692,0.997483967
1.191441,0,2.502538,1.231326333,hsa-miR-5683-5p,0,2.21737672,4.759308459,2.325561726
1.191441,0,2.502538,1.231326333,hsa-miR-1973-3p,0,0,0.475930846,0.158643615
1.191441,0,2.502538,1.231326333,hsa-miR-186-3p,0,2.21737672,0.475930846,0.897769189
1.191441,0,2.502538,1.231326333,hsa-miR-199a-1-5p,7.431230151,7.20647434,5.235239305,6.624314599
1.191441,0,2.502538,1.231326333,hsa-miR-548ar-5p,1.48624603,2.21737672,2.379654229,2.027758993
1.191441,0,2.502538,1.231326333,hsa-miR-3140-3p,1.48624603,2.21737672,0.951861692,1.551828147
1.191441,0,2.502538,1.231326333,hsa-miR-3173-5p,2.97249206,6.09778598,5.235239305,4.768505782
1.191441,0,2.502538,1.231326333,hsa-miR-4787-3p,0,11.0868836,16.18164876,9.089510787
1.191441,0,2.502538,1.231326333,hsa-miR-4726-5p,0,2.7717209,2.379654229,1.717125043
1.191441,0,2.502538,1.231326333,hsa-miR-199b-5p,1.48624603,1.10868836,0.951861692,1.182265361
1.191441,0,2.502538,1.231326333,hsa-miR-1266-5p,5.944984121,6.09778598,7.614893534,6.552554545
1.191441,0,2.502538,1.231326333,hsa-miR-567-3p,0,0.55434418,0,0.184781393
1.191441,0,2.502538,1.231326333,hsa-miR-452-5p,0,232.2702114,140.3995995,124.2232703
1.191441,0,2.502538,1.231326333,hsa-miR-1273g-5p,1.48624603,0,0,0.495415343
0,4.526556,0,1.508852,hsa-miR-3691-5p,1.48624603,4.43475344,12.85013284,6.257044103
0,4.526556,0,1.508852,hsa-miR-3976-5p,2.97249206,0,0,0.990830687
0,4.526556,0,1.508852,hsa-miR-1262-5p,8.917476181,10.53253942,9.994547763,9.814854455
0,4.526556,0,1.508852,hsa-miR-6821-5p,0,0,0,0
0,4.526556,0,1.508852,hsa-miR-1290-3p,1.48624603,0,0.951861692,0.812702574
0,4.526556,0,1.508852,hsa-miR-4508-5p,5.944984121,0,1.427792538,2.45759222
0,4.526556,0,1.508852,hsa-miR-451a-5p,10.40372221,0.55434418,0,3.652688797
0,4.526556,0,1.508852,hsa-miR-581-5p,0,6.65213016,4.759308459,3.803812873
2.382881,2.263278,0,1.548719667,hsa-miR-548ae-1-3p,1.48624603,0.55434418,0,0.680196737
2.382881,2.263278,0,1.548719667,hsa-miR-548l-5p,4.458738091,3.88040926,3.331515921,3.890221091
2.382881,2.263278,0,1.548719667,hsa-miR-548ae-2-3p,1.48624603,0.55434418,0,0.680196737
4.765762,0,0,1.588587333,hsa-miR-6723-3p,1.48624603,0.55434418,0.951861692,0.997483967
0,2.263278,2.502538,1.588605333,hsa-miR-589-3p,0,1.10868836,1.427792538,0.845493633
0,2.263278,2.502538,1.588605333,hsa-miR-605-5p,0,2.21737672,1.427792538,1.215056419
0,2.263278,2.502538,1.588605333,hsa-miR-4755-3p,0,0,0,0
0,2.263278,2.502538,1.588605333,hsa-miR-196b-3p,1.48624603,9.42385106,5.235239305,5.381778798
2.382881,0,2.502538,1.628473,hsa-miR-3685-5p,0,3.32606508,3.331515921,2.219193667
2.382881,0,2.502538,1.628473,hsa-miR-3916-5p,8.917476181,0,0.475930846,3.131135676
2.382881,0,2.502538,1.628473,hsa-miR-2277-3p,2.97249206,0.55434418,1.427792538,1.651542926
2.382881,0,2.502538,1.628473,hsa-miR-296-3p,10.40372221,276.0634016,299.8364329,195.4345189
2.382881,0,2.502538,1.628473,hsa-miR-103a-2-5p,0,1.10868836,1.427792538,0.845493633
2.382881,0,2.502538,1.628473,hsa-miR-6833-3p,0,1.66303254,0.951861692,0.871631411
2.382881,0,2.502538,1.628473,hsa-miR-199a-2-5p,7.431230151,7.20647434,5.235239305,6.624314599
0,0,5.005076,1.668358667,hsa-miR-218-1-3p,1.48624603,19.95639048,10.47047861,10.63770504
0,0,5.005076,1.668358667,hsa-miR-652-5p,0,13.8586045,15.70571791,9.854774137
0,0,5.005076,1.668358667,hsa-miR-1288-3p,1.48624603,1.10868836,1.427792538,1.340908976
0,0,5.005076,1.668358667,hsa-miR-579-3p,0,3.88040926,1.903723383,1.928044214
1.191441,4.526556,0,1.905999,hsa-miR-187-3p,2.97249206,17.73901376,16.18164876,12.29771819
1.191441,4.526556,0,1.905999,hsa-miR-6805-5p,1.48624603,0,0.951861692,0.812702574
1.191441,4.526556,0,1.905999,hsa-miR-1468-5p,8.917476181,2.7717209,8.566755226,6.751984102
1.191441,4.526556,0,1.905999,hsa-miR-3133-5p,0,2.21737672,2.855585075,1.690987265
5.957203,0,0,1.985734333,hsa-miR-3929-5p,1.48624603,2.21737672,0.475930846,1.393184532
5.957203,0,0,1.985734333,hsa-miR-3196-5p,1.48624603,3.32606508,0.951861692,1.921390934
5.957203,0,0,1.985734333,hsa-miR-33b-5p,0,1.66303254,1.427792538,1.030275026
5.957203,0,0,1.985734333,hsa-miR-552-3p,0,1.66303254,0.951861692,0.871631411
1.191441,2.263278,2.502538,1.985752333,hsa-miR-1343-3p,0,3.32606508,7.138962688,3.488342589
1.191441,2.263278,2.502538,1.985752333,hsa-miR-548ay-3p,0,2.21737672,2.855585075,1.690987265
1.191441,2.263278,2.502538,1.985752333,hsa-miR-9-2-3p,8.917476181,31.59761826,16.18164876,18.8989144
1.191441,2.263278,2.502538,1.985752333,hsa-miR-4419a-3p,2.97249206,2.21737672,0.475930846,1.888599875
1.191441,2.263278,2.502538,1.985752333,hsa-miR-4306-3p,0,4.43475344,2.379654229,2.271469223
1.191441,2.263278,2.502538,1.985752333,hsa-miR-9-1-3p,8.917476181,30.4889299,15.70571791,18.370708
1.191441,2.263278,2.502538,1.985752333,hsa-miR-500b-3p,5.944984121,7.76081852,14.27792538,9.32790934
3.574322,0,2.502538,2.02562,hsa-miR-548am-3p,0,9.42385106,4.759308459,4.72771984
3.574322,0,2.502538,2.02562,hsa-miR-566-5p,0,2.7717209,1.427792538,1.399837813
3.574322,0,2.502538,2.02562,hsa-miR-503-3p,5.944984121,1.66303254,1.427792538,3.0119364
1.191441,0,5.005076,2.065505667,hsa-miR-891a-5p,0,0,0,0
0,6.789833,0,2.263277667,hsa-miR-4785-3p,4.458738091,1.66303254,0.951861692,2.357877441
0,6.789833,0,2.263277667,hsa-miR-4741-3p,7.431230151,5.5434418,1.427792538,4.800821496
0,6.789833,0,2.263277667,hsa-miR-5582-3p,1.48624603,8.86950688,9.994547763,6.783433558
0,6.789833,0,2.263277667,hsa-miR-495-3p,11.88996824,0,0,3.963322747
2.382881,4.526556,0,2.303145667,hsa-miR-708-3p,0,167.4119424,184.6611682,117.3577035
2.382881,4.526556,0,2.303145667,hsa-miR-3960-3p,10.40372221,2.21737672,4.283377613,5.634825514
4.765762,2.263278,0,2.343013333,hsa-miR-301b-5p,2.97249206,11.0868836,3.331515921,5.79696386
4.765762,2.263278,0,2.343013333,hsa-miR-1273h-5p,0,0,0.951861692,0.317287231
0,4.526556,2.502538,2.343031333,hsa-miR-204-5p,1.48624603,33.2606508,43.78563782,26.17751155
0,4.526556,2.502538,2.343031333,hsa-miR-4742-3p,2.97249206,3.32606508,4.759308459,3.6859552
0,4.526556,2.502538,2.343031333,hsa-miR-548t-3p,1.48624603,6.09778598,3.331515921,3.638515977
0,4.526556,2.502538,2.343031333,hsa-miR-548aa-2-3p,1.48624603,6.09778598,3.331515921,3.638515977
0,4.526556,2.502538,2.343031333,hsa-miR-548aa-1-3p,1.48624603,6.09778598,3.331515921,3.638515977
2.382881,2.263278,2.502538,2.382899,hsa-miR-4461-5p,1.48624603,1.66303254,4.283377613,2.477552061
4.765762,0,2.502538,2.422766667,hsa-miR-450a-1-3p,8.917476181,3.32606508,3.331515921,5.191685727
4.765762,0,2.502538,2.422766667,hsa-miR-6511a-2-3p,1.48624603,2.7717209,3.807446767,2.688471232
4.765762,0,2.502538,2.422766667,hsa-miR-217-5p,7.431230151,37.69540424,23.79654229,22.97439223
4.765762,0,2.502538,2.422766667,hsa-miR-6511a-4-3p,1.48624603,2.7717209,3.807446767,2.688471232
4.765762,0,2.502538,2.422766667,hsa-miR-6511a-3-3p,1.48624603,2.7717209,3.807446767,2.688471232
4.765762,0,2.502538,2.422766667,hsa-miR-6511a-1-3p,1.48624603,2.7717209,3.807446767,2.688471232
4.765762,0,2.502538,2.422766667,hsa-miR-34c-5p,4.458738091,405.7799398,420.2469369,276.8285383
