"","ensembl.id","symbol","biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DENND4C","ENSG00000137145","DENND4C","protein_coding",481.7292888,-0.294173227,0.108050586,-2.722550971,0.006478004,0.020316154
"DGKA","ENSG00000065357","DGKA","protein_coding",572.8361392,-0.418060627,0.111103812,-3.762792827,0.000168026,0.000829802
"DHCR7","ENSG00000172893","DHCR7","protein_coding",6827.404043,0.52737544,0.092984003,5.671679275,1.41e-08,1.65e-07
"DHX57","ENSG00000163214","DHX57","protein_coding",465.9929729,-0.23312028,0.101771435,-2.290625855,0.021985062,0.05734394
"DIDO1","ENSG00000101191","DIDO1","protein_coding",1280.779482,0.238383063,0.086571396,2.753600757,0.005894362,0.018728224
"DIEXF","ENSG00000117597","DIEXF","protein_coding",522.4065273,-0.277458671,0.100412626,-2.763185091,0.00572403,0.018258041
"DIMT1","ENSG00000086189","DIMT1","protein_coding",551.7570613,-0.420197215,0.110091383,-3.816803849,0.000135192,0.000685983
"DIP2C","ENSG00000151240","DIP2C","protein_coding",202.1883295,-0.442110116,0.129536044,-3.413027767,0.000642454,0.002747406
"DLG1","ENSG00000075711","DLG1","protein_coding",1840.826458,-0.483639179,0.080269499,-6.02519243,1.69e-09,2.27e-08
"DMXL1","ENSG00000172869","DMXL1","protein_coding",367.6749735,0.268037088,0.103138783,2.59880018,0.009355021,0.027882289
"DMXL2","ENSG00000104093","DMXL2","protein_coding",330.9513357,0.514824821,0.119131896,4.321469218,1.55e-05,9.92e-05
"DNAH17","ENSG00000187775","DNAH17","protein_coding",24.60647575,-1.584131815,0.288038295,-5.499726406,3.8e-08,4.11e-07
"DNAH8","ENSG00000124721","DNAH8","protein_coding",20.75626159,2.147686424,0.327784635,6.552126599,5.67e-11,9.62e-10
"DNAJC6","ENSG00000116675","DNAJC6","protein_coding",147.3982115,-0.396293418,0.14924419,-2.655335641,0.007922953,0.024257571
"DNM1","ENSG00000106976","DNM1","protein_coding",326.7836035,1.268162078,0.131400035,9.651154794,4.86e-22,2.91e-20
"DNM1L","ENSG00000087470","DNM1L","protein_coding",880.0264387,-0.516920847,0.096053081,-5.381616496,7.38e-08,7.58e-07
"DNM2","ENSG00000079805","DNM2","protein_coding",2756.247875,-0.191832143,0.077471511,-2.476163709,0.013280267,0.037587111
"DOCK5","ENSG00000147459","DOCK5","protein_coding",1196.991502,-0.194021665,0.094955,-2.043301202,0.041022631,0.096247749
"DOCK9","ENSG00000088387","DOCK9","protein_coding",612.3770678,-0.490102139,0.104635568,-4.683896171,2.81e-06,2.12e-05
"DOPEY1","ENSG00000083097","DOPEY1","protein_coding",182.2716678,-0.29902761,0.137314991,-2.177676357,0.02943014,0.073203721
"DST","ENSG00000151914","DST","protein_coding",1691.545177,0.610190319,0.116192819,5.251532113,1.51e-07,1.47e-06
"DSTYK","ENSG00000133059","DSTYK","protein_coding",467.3725265,-0.232691007,0.106217001,-2.190713397,0.028472539,0.071130015
"DTX4","ENSG00000110042","DTX4","protein_coding",731.3778271,-0.381615106,0.097701201,-3.905940802,9.39e-05,0.000496879
"DUSP1","ENSG00000120129","DUSP1","protein_coding",143.2651711,-1.248993064,0.192275257,-6.495859563,8.26e-11,1.35e-09
"DUSP16","ENSG00000111266","DUSP16","protein_coding",412.3288298,-0.894885818,0.126097897,-7.096754514,1.28e-12,2.82e-11
"E2F3","ENSG00000112242","E2F3","protein_coding",534.7050955,0.48491346,0.100642066,4.818198592,1.45e-06,1.16e-05
"E2F8","ENSG00000129173","E2F8","protein_coding",291.2824955,0.858057469,0.137912132,6.221769304,4.92e-10,7.15e-09
"EBF4","ENSG00000088881","EBF4","protein_coding",45.8035796,-0.972916578,0.226292098,-4.299383793,1.71e-05,0.000108493
"EBNA1BP2","ENSG00000117395","EBNA1BP2","protein_coding",1575.715109,-0.297748581,0.113620709,-2.620548518,0.008778844,0.026430312
"EDEM1","ENSG00000134109","EDEM1","protein_coding",1791.691736,0.30219158,0.105424396,2.866429336,0.004151308,0.013805591
"EDN1","ENSG00000078401","EDN1","protein_coding",120.3545652,-0.895723558,0.166287057,-5.38661019,7.18e-08,7.38e-07
"EEF2K","ENSG00000103319","EEF2K","protein_coding",406.5794395,0.539833067,0.108846333,4.959588896,7.06e-07,6.05e-06
"EFCAB2","ENSG00000203666","EFCAB2","protein_coding",61.02749474,-0.570450227,0.215911453,-2.642056354,0.008240434,0.025053029
"EFNB1","ENSG00000090776","EFNB1","protein_coding",705.4215957,0.222073077,0.09610168,2.310813691,0.020843148,0.054797732
"EIF2AK1","ENSG00000086232","EIF2AK1","protein_coding",3628.034971,0.190037534,0.07950662,2.390210195,0.016838733,0.045773164
"EIF2S2","ENSG00000125977","EIF2S2","protein_coding",1626.307661,-0.557939194,0.108187911,-5.15713069,2.51e-07,2.35e-06
"ELMO2","ENSG00000062598","ELMO2","protein_coding",597.7705024,-0.215462154,0.092154171,-2.338061878,0.019384038,0.051620402
"ELOVL4","ENSG00000118402","ELOVL4","protein_coding",222.8794626,-0.566648393,0.135374023,-4.185798568,2.84e-05,0.000171516
"ELOVL5","ENSG00000012660","ELOVL5","protein_coding",4046.308862,0.621496733,0.083722755,7.423271441,1.14e-13,2.87e-12
"EML4","ENSG00000143924","EML4","protein_coding",1130.178218,0.445959692,0.079947666,5.578145258,2.43e-08,2.73e-07
"EMP2","ENSG00000213853","EMP2","protein_coding",2355.753745,0.577718253,0.091687492,6.30094945,2.96e-10,4.47e-09
"ENPP1","ENSG00000197594","ENPP1","protein_coding",297.0460527,0.823878952,0.133817758,6.156723598,7.43e-10,1.05e-08
"ENPP5","ENSG00000112796","ENPP5","protein_coding",152.2122832,0.359322713,0.159935672,2.246670229,0.02466111,0.063096621
